,PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,IMPUTED
10193,198702027,1,B5605,TRANSCANADA PIPELINES FINANCE USA LTD,,CANADA,CAN,B06,,,0
10194,198702028,1,B5672,U-HAUL CO LTD,,CANADA,CAN,H49,,,0
10195,198702029,1,B1748,DENISON MINES LTD,,CANADA,CAN,B07,,,0
10196,198702030,1,B1818,DONOHUE MALBAIE INC,,CANADA,CAN,C17,,,0
10197,198702031,1,B1867,EASTERN CANADA TOWING LTD,,CANADA,CAN,D35,,,0
10198,198702032,1,B2153,FEDERAL BUSINESS DEVELOPMENT BANK,,CANADA,CAN,K64,,,0
10199,198702033,1,B2381,GENERAL MOTORS OF CANADA LTD,,CANADA,CAN,C28,,,0
10200,198702034,1,B2636,GULF CANADA CORP,,CANADA,CAN,B06,,,0
10201,198702035,1,B2460,HER MAJESTY THE QUEEN IN RIGHT OF CANADA,,CANADA,CAN,O84,,,0
10202,198702036,1,B3420,LAWSON MARDON GROUP LTD,,CANADA,CAN,C22,,,0
10203,198702037,1,B0694,BANK OF CHINA,,CHINA,CHN,K64,,,0
10204,198702038,1,B1696,DALIAN JUI ZHOU HOTEL CO LTD,,CHINA,CHN,I55,,,0
10205,198702039,1,B3075,ISLAND CREEK OF CHINA COAL LTD,,CHINA,CHN,B07,,,0
10206,198702040,1,B1171,CENTRAL BANK OF CYPRUS,,CYPRUS,CYP,K64,,,0
10207,198702041,1,B3732,A/S MIDTBANK,,DENMARK,DNK,K64,,,0
10208,198702042,1,B0229,AMAGERBANKEN AS DM,,DENMARK,DNK,K64,,,0
10209,198702043,1,B0511,BALTICA HOLDINGS A/S,,DENMARK,DNK,K64,,,0
10210,198702044,1,B1703,DANISH EXPORT FINANCE CORP,,DENMARK,DNK,K64,,,0
10211,198702045,1,B1864,EAST ASIATIC CO A/S,,DENMARK,DNK,N81,,,0
10212,198702046,1,B2466,KINGDOM OF DENMARK,,DENMARK,DNK,O84,,,0
10213,198702047,1,B1743,PROVINSBAKEN AS,,DENMARK,DNK,K64,,,0
10214,198702048,1,B5261,SPAREKASSEN SDS,,DENMARK,DNK,K64,,,0
10215,198702049,1,B5405,SYDBANK A/S,,DENMARK,DNK,K64,,,0
10216,198702050,1,B0007,A AHLSTROM CORP,,FINLAND,FIN,C17,,,0
10217,198702051,1,B2023,ENSO-GUTZEIT OY,,FINLAND,FIN,C17,,,0
10218,198702052,1,B2023,ENSO-GUTZEIT OY,,FINLAND,FIN,C17,,,0
10219,198702053,1,B2213,FINNISH EXPORT CREDIT LTD,,FINLAND,FIN,K64,,,0
10220,198702054,1,B3946,NESTE OY,,FINLAND,FIN,B06,,,0
10221,198702055,1,B4198,OUTOKUUPU OY,,FINLAND,FIN,C24,,,0
10222,198702056,1,B2470,REPUBLIC OF FINLAND,,FINLAND,FIN,O84,,,0
10223,198702057,1,B5480,TEOLLISUUDEN VOIMA OY,,FINLAND,FIN,D35,,,0
10224,198702058,1,B0089,AEROSPATIALE,,FRANCE,FRA,C28,,,0
10225,198702059,1,B1638,CREDIT NATIONAL,,FRANCE,FRA,K64,,,0
10226,198702060,1,B4298,PECHINEY SA,,FRANCE,FRA,C24,,,0
10227,198702061,1,B4693,RHONE-POULENC,,FRANCE,FRA,C20,,,0
10228,198702062,1,B4693,RHONE-POULENC COMMERCIAL FINANCE BV,,FRANCE,FRA,C20,,,0
10229,198702062,2,B4693,RHONE-POULENC,,FRANCE,FRA,C20,,,0
10230,198702063,1,B5137,SOCIETE GENERALE SA,,FRANCE,FRA,K64,,,0
10231,198702064,1,B5137,SOCIETE GENERALE,,FRANCE,FRA,K64,,,0
10232,198702065,1,B5137,SOCIETE GENERALE,,FRANCE,FRA,K64,,,0
10233,198702066,1,B5149,SOCIETE NATIONALE DE CHEMINS DE FER FRANCAIS,,FRANCE,FRA,H49,,,0
10234,198702067,1,B6051,YSL INTERNATIONAL SA,,FRANCE,FRA,C14,,,0
10235,198702068,1,B0745,BANQUE NATIONALE DE PARIS,,FRANCE,FRA,K64,,,0
10236,198702069,1,B1034,CAISSE NATIONALE DES TELECOMMUNICATIONS,,FRANCE,FRA,J61,,,0
10237,198702070,1,B1034,CAISSE NATIONALE DES TELECOMMUNICATIONS,,FRANCE,FRA,J61,,,0
10238,198702071,1,B1100,CARREFOUR SA,,FRANCE,FRA,G47,,,0
10239,198702072,1,B1630,CREDIT COMMERCIAL DE FRANCE,,FRANCE,FRA,K64,,,0
10240,198702073,1,B1766,DEUTSCHE BANK AG,,GERMANY,DEU,K64,,,0
10241,198702074,1,B2729,HESSISCHE LANDESBANK GIROZENTRALE,,GERMANY,DEU,K64,,,0
10242,198702075,1,B0252,HOECHST CAPITAL CORP,,GERMANY,DEU,C20,,,0
10243,198702075,2,B0252,AMERICAN HOECHST CORP,,GERMANY,DEU,C20,,,0
10244,198702076,1,B3441,LEONBERGER BAUSPARKASSE AG,,GERMANY,DEU,K64,,,0
10245,198702077,1,B0701,BANK OF GREECE,,GREECE,GRC,K64,,,0
